Country,LifeExpectancy_Both,LifeExpectancy_Female,LifeExpectancy_Male,UrbanPopulation_Percentage,UrbanPopulation_Absolute,PopulationDensity
Afghanistan,66.5,68.1,64.9,26.7,11704638,67
Albania,80.0,81.7,78.1,70.3,1948831,101
Algeria,76.7,78.1,75.3,74.4,35291973,20
Angola,65.0,67.5,62.4,68.8,26847887,31
Antigua and Barbuda,77.9,80.6,74.9,28.5,26823,214
Argentina,77.7,80.2,75.1,96.0,44010474,17
Armenia,76.0,79.7,71.8,63.8,1882155,104
Aruba,76.6,79.1,74.0,44.7,48340,601
Australia,84.2,86.0,82.4,86.5,23335357,7682300
Austria,82.3,84.6,80.0,58.6,5337973,111
