Country,LifeExpectancy_Both,LifeExpectancy_Female,LifeExpectancy_Male,UrbanPopulation_Percentage,UrbanPopulation_Absolute,PopulationDensity
Afghanistan,66.5,68.1,64.9,26.7,11704638,67
Albania,80.0,81.7,78.1,70.3,1948831,101
Algeria,76.7,78.1,75.3,74.4,35291973,20
Angola,65.0,67.5,62.4,68.8,26847887,31
Antigua and Barbuda,77.9,80.6,74.9,28.5,26823,214
Argentina,77.7,80.2,75.1,96.0,44010474,17
Armenia,76.0,79.7,71.8,63.8,1882155,104
Aruba,76.6,79.1,74.0,44.7,48340,601
Australia,84.2,86.0,82.4,86.5,23335357,7682300
Austria,82.3,84.6,80.0,58.6,5337973,111
Azerbaijan,74.7,77.4,71.9,58.7,6101378,126
Bahamas,74.9,78.5,71.2,88.4,356391,40
Bahrain,81.6,82.3,81.0,2025.0,None,2162
Bangladesh,75.2,76.9,73.6,42.6,74837709,1350
Barbados,76.5,78.9,73.9,32.5,91766,657
Belarus,74.8,79.4,69.9,84.4,7589573,44
Belgium,82.4,84.6,80.3,98.8,11613585,388
Belize,73.9,76.8,71.2,48.6,205478,19
Benin,61.1,62.6,59.7,47.8,7076087,131
Bhutan,73.5,75.6,71.8,50.3,400623,21
Bolivia,68.9,71.5,66.4,70.6,8887268,12
Bosnia and Herzegovina,78.2,81.2,74.9,56.3,1768228,62
Botswana,69.4,72.0,66.9,75.6,1937024,12
Brazil,76.2,79.3,73.1,91.4,194451506,25
Brunei,75.7,77.9,73.7,80.1,373730,88
Bulgaria,76.0,79.5,72.5,77.1,5179498,62
Burkina Faso,61.5,63.6,59.3,33.7,8113116,88
Burundi,64.0,66.1,61.9,14.9,2146694,560
Cabo Verde,76.4,79.5,73.3,78.6,414288,131
Cambodia,71.0,73.5,68.3,26.5,4721141,101
Cameroon,64.2,66.5,62.0,59.4,17739676,63
Canada,82.9,85.0,80.7,80.2,32164167,11
Central African Republic,57.9,59.8,55.7,44.5,2451673,23
Chad,55.4,57.4,53.5,22.4,4700984,17
Chile,81.5,83.4,79.7,84.8,16850412,27
China,78.4,81.2,75.7,67.5,956553854,151
Colombia,78.1,80.8,75.4,80.5,43010759,48
Comoros,67.2,69.4,65.2,33.6,296345,474
Congo,66.2,67.9,64.5,69.8,4524254,19
Costa Rica,81.2,83.7,78.6,85.2,4390911,101
Côte d'Ivoire,62.3,64.5,60.3,49.0,16021559,103
Croatia,78.9,82.0,75.8,61.7,2374884,69
Cuba,78.4,80.8,76.1,81.9,8957468,103
Curaçao,77.2,81.1,72.9,80.8,149822,418
Cyprus,82.0,83.9,80.0,61.1,838047,148
Czech Republic (Czechia),80.1,82.9,77.3,75.0,7952770,137
Denmark,82.2,84.1,80.4,87.4,5248366,141
Djibouti,66.4,69.0,63.9,71.3,843657,51
Dominican Republic,74.0,77.2,70.8,86.4,9950299,238
DR Congo,62.2,64.4,60.1,45.0,50722858,50
Ecuador,77.8,80.5,75.1,66.0,12062680,74
Egypt,72.0,74.2,69.8,40.9,48427431,119
El Salvador,72.5,76.7,68.0,79.9,5085472,307
Equatorial Guinea,64.1,66.1,62.4,63.6,1232213,69
Eritrea,69.2,71.2,67.0,74.8,2698752,36
Estonia,79.5,83.3,75.4,66.9,899102,32
Eswatini,64.4,67.3,61.4,31.3,392638,73
Ethiopia,67.9,71.3,64.6,22.5,30487323,135
Fiji,67.6,69.7,65.6,60.8,567088,51
Finland,82.2,84.9,79.6,86.7,4874169,19
France,83.6,86.3,80.7,82.5,55018724,122
French Guiana,77.4,80.3,74.5,94.5,296315,10
French Polynesia,84.3,86.7,82.0,65.9,186114,77
Gabon,68.7,71.4,66.2,83.7,2171202,10
Gambia,66.3,68.0,64.5,61.3,1731095,279
Georgia,74.8,79.4,69.9,62.0,2358908,55
Germany,81.7,84.0,79.4,76.5,64345635,241
Ghana,65.9,68.4,63.5,58.6,20539206,154
Greece,82.2,84.6,79.7,89.5,8897137,77
Grenada,75.5,78.6,72.7,35.5,41685,345
Guadeloupe,82.4,85.8,78.6,2025.0,None,221
Guam,77.6,81.7,73.9,98.8,167029,313
Guatemala,72.9,75.2,70.6,56.6,10568383,174
Guinea,61.1,62.3,59.8,40.3,6082701,61
Guinea-Bissau,64.4,66.7,62.0,46.2,1038474,80
Guyana,70.4,74.2,66.7,26.6,222762,11
Haiti,65.3,68.7,62.1,61.7,7343428,432
Honduras,73.2,75.9,70.6,58.3,6421078,98
Hong Kong,85.8,88.4,83.1,2025.0,None,7044
Hungary,77.3,80.5,74.1,72.0,6937818,106
